user,3scale,activator,hello,node3,node2,node2,node3,51.418,0.726,53.899,106.043
user,3scale,activator,hello,node3,node1,node2,node3,51.204,0.946,52.793,104.943
user,3scale,activator,hello,node3,node3,node2,node3,0.864,51.117,52.754,104.735
user,3scale,activator,hello,node3,node2,node2,node3,51.09,0.664,52.299,104.053
user,3scale,activator,hello,node3,node1,node2,node3,51.397,1.093,53.64,106.13
user,3scale,activator,hello,node3,node3,node2,node3,0.754,53.894,52.374,107.022
user,3scale,activator,hello,node3,node2,node2,node3,51.129,0.668,52.475,104.272
user,3scale,activator,hello,node3,node1,node2,node3,50.989,0.877,52.608,104.474
user,3scale,activator,hello,node3,node3,node2,node3,0.915,51.131,52.968,105.014
user,3scale,activator,hello,node3,node2,node2,node3,50.997,0.722,52.091,103.81
